postDate,craigId,area,price,title,longitude,beds,latitude,link,numPic,updateDate,date,size,contentLen,reposts
"2015-11-28T21:06:11-0500,2015-11-28T21:06:11-0500,2015-11-28T22:17:19-0500",5336302394, (Bed-Stuy),1200,"Spacious, Beautiful Room for 5-Month Sublease",-73.9496,148,40.6794,/brk/roo/5336302394.html,0,"2015-11-28T21:06:11-0500,2015-11-28T21:06:11-0500,2015-11-28T22:17:19-0500",Nov 28,,7,0
"2015-11-28T20:58:32-0500,2015-11-28T20:58:32-0500",5336295122, (Bushwick),1039,Amazing elevator building seeking roomies in Bushwick off JMZ :),-73.933828,,40.696184,/brk/roo/5336295122.html,23,"2015-11-28T20:58:32-0500,2015-11-28T20:58:32-0500",Nov 28,,11,0
"2015-11-28T21:01:14-0500,2015-11-28T21:01:14-0500",5336297702, (bushwick),1100,PRIVATE BACKYARD! LAUNDRY IN BUILDING! CENTRAL A/C!,-73.924185,,40.692901,/brk/roo/5336297702.html,11,"2015-11-28T21:01:14-0500,2015-11-28T21:01:14-0500",Nov 28,,31,0
"2015-11-28T21:15:10-0500,2015-11-28T21:15:10-0500",5336310944, (East Brooklyn),595,3&4 Trains**Brand New & Modern**Big Rooms**Close to Subway,,,,/brk/roo/5336310944.html,4,"2015-11-28T21:15:10-0500,2015-11-28T21:15:10-0500",Nov 28,,11,0
"2015-11-28T21:14:57-0500,2015-11-28T21:14:57-0500",5336310740, (310 Tompkins ave),875,Beautiful New 4BR/2BA private Roof access steps to Bedford G train,-73.944683,,40.687218,/brk/roo/5336310740.html,15,"2015-11-28T21:14:57-0500,2015-11-28T21:14:57-0500",Nov 28,,45,0
"2015-11-24T18:35:19-0500,2015-11-24T18:35:19-0500,2015-11-28T21:08:44-0500",5331047653, (Brooklyn),650,"Room for rent near Kingsbrook, Interfaith, Wycoff and Lutheran!!!",,,,/brk/roo/5331047653.html,0,"2015-11-24T18:35:19-0500,2015-11-24T18:35:19-0500,2015-11-28T21:08:44-0500",Nov 28,,18,0
"2015-11-28T21:14:34-0500,2015-11-28T21:14:34-0500",5336310400, (Flatbush / NO FEE),650,Nostrand Ave**30 Seconds to the Subway**Exposed Brick**Modern Bathroom,-73.94895,,40.645003,/brk/roo/5336310400.html,10,"2015-11-28T21:14:34-0500,2015-11-28T21:14:34-0500",Nov 28,,12,0
"2015-11-28T21:15:59-0500,2015-11-28T21:15:59-0500",5336311692, (Bushwick),800,L & J Trains**Hardwood Flrs**Expd Brick**2 Full Baths**SS Appliances,-73.907025,,40.690498,/brk/roo/5336311692.html,10,"2015-11-28T21:15:59-0500,2015-11-28T21:15:59-0500",Nov 28,,8,0
"2015-11-15T13:57:12-0500,2015-11-15T13:57:12-0500,2015-11-28T21:23:59-0500",5317153500, (Bushwick),1100,Great Space/ ALL NEW/READY ASAP,,,,/brk/roo/5317153500.html,24,"2015-11-15T13:57:12-0500,2015-11-15T13:57:12-0500,2015-11-28T21:23:59-0500",Nov 28,,9,0
"2015-11-28T21:11:36-0500,2015-11-28T21:11:36-0500",5336307599, (310 Tompkins ave),875,Beautiful New 4BR/2BA private Roof access steps to Bedford G train,-73.944683,,40.687218,/brk/roo/5336307599.html,15,"2015-11-28T21:11:36-0500,2015-11-28T21:11:36-0500",Nov 28,,45,0
"2015-11-28T21:16:20-0500,2015-11-28T21:16:20-0500",5336312034, (310 Tompkins ave),875,Beautiful New 4BR/2BA private Roof access steps to Bedford G train,-73.944683,,40.687218,/brk/roo/5336312034.html,15,"2015-11-28T21:16:20-0500,2015-11-28T21:16:20-0500",Nov 28,,45,0
"2015-11-09T18:46:55-0500,2015-11-09T18:46:55-0500,2015-11-28T21:30:51-0500",5308375669, (Bushwick),850,Amazing Space PASS BY SOON,,,,/brk/roo/5308375669.html,13,"2015-11-09T18:46:55-0500,2015-11-09T18:46:55-0500,2015-11-28T21:30:51-0500",Nov 28,,8,0
"2015-11-26T12:02:09-0500,2015-11-26T12:02:09-0500,2015-11-28T21:39:23-0500",5333082038, (BUSHWICK),750,LADIES ONLY - HUGE 4 BR APT IN BUSHWICK - 1 LEFT TO SHARE!!,-73.909171,1300,40.688758,/brk/roo/5333082038.html,6,"2015-11-26T12:02:09-0500,2015-11-26T12:02:09-0500,2015-11-28T21:39:23-0500",Nov 28,,29,0
"2015-11-25T11:17:18-0500,2015-11-25T11:17:18-0500,2015-11-28T21:38:19-0500",5331793936, (Bushwick/Bedstuy),2200,L Train Morgan ave Elevator,-73.941529,,40.694598,/brk/roo/5331793936.html,0,"2015-11-25T11:17:18-0500,2015-11-25T11:17:18-0500,2015-11-28T21:38:19-0500",Nov 28,,1,0
"2015-11-28T21:47:41-0500,2015-11-28T21:47:41-0500",5336340646, (Brooklyn),200,Room with A View (East Flatbush),,100,,/brk/roo/5336340646.html,0,"2015-11-28T21:47:41-0500,2015-11-28T21:47:41-0500",Nov 28,,1,0
"2015-11-28T16:37:20-0500,2015-11-28T16:37:20-0500",5335976768,,,Great room for roommate--$625,-73.996,,40.6336,/brk/roo/5335976768.html,5,"2015-11-28T16:37:20-0500,2015-11-28T16:37:20-0500",Nov 28,,3,0
"2015-11-15T12:57:56-0500,2015-11-15T12:57:56-0500,2015-11-28T16:32:34-0500",5317064453,,,布碌倫 13大道 63街 大單房,-73.996,,40.6336,/brk/roo/5317064453.html,0,"2015-11-15T12:57:56-0500,2015-11-15T12:57:56-0500,2015-11-28T16:32:34-0500",Nov 28,,3,0
"2015-11-28T16:24:32-0500,2015-11-28T16:24:32-0500",5335956872, (Bushwick),800,Room for rent in our killer 5 bdrm 2 story flat,-73.916016,,40.689831,/brk/roo/5335956872.html,7,"2015-11-28T16:24:32-0500,2015-11-28T16:24:32-0500",Nov 28,,16,0
